headline,tag_1,tag_2,tag_3,years,day,month,date
实现合作共赢 促进共同发展,合作共赢,共同发展,首脑会议,2018,6,0,NA
走出一条特色鲜明的合作共赢之路,合作共赢,中非合作论坛,友好,2018,5,0,NA
走出一条特色鲜明的合作共赢之路,合作共赢,中非合作论坛,友好,2018,5,0,NA
为中尼合作共赢注入强劲动力（大使随笔）,中尼关系,合作共赢,大使,2018,5,0,NA
中非合作，共赢未来（评论员观察）,中非合作论坛,评论员,经济,2018,3,0,NA
唱响中非合作共赢共同发展主旋律,中非合作,合作共赢,共同发展,2018,1,0,NA
“共同发出合作共赢、共同发展的声音”,新闻中心,合作共赢,共同发展,2018,1,0,NA
唱响中非合作共赢共同发展主旋律,中非合作,合作共赢,共同发展,2018,1,0,NA
合作共赢，中非携手共同发展（权威论坛）,合作,投资,肯尼亚非洲政策研究所,2018,31,0,NA
坚持对话协商共建共享合作共赢交流互鉴　推动共建“一带一路”走深走实造福人民,“一带一路”,合作,坚持,2018,28,0,NA
合作实现共赢 交流带来机遇 中国制造 融入全球产业链,企业,创新,产品,2018,25,0,NA
合作实现共赢 交流带来机遇 中国制造 融入全球产业链,企业,创新,产品,2018,25,0,NA
合作共赢，助力世界可持续发展（评论员观察）,合作,可持续发展,“一带一路”,2018,23,0,NA
山海同携手 互补谋共赢,合作,产业,经济发达地区,2018,6,0,NA
坚持合作共赢，建设开放经济,经济,合作,建设,2018,28,0,NA
坚持合作共赢，建设开放经济,经济,合作,建设,2018,28,0,NA
同心续写合作共赢新篇章,合作,中南,金砖,2018,23,0,NA
创造中阿合作共赢新历史,中阿关系,合作,阿联酋,2018,20,0,NA
互利共赢 联动发展 中国石化为一带一路建设加油（一带一路·合作共赢）,中国石化,合作,哈萨克斯坦阿特劳炼厂,2018,12,0,NA
面向未来 双向开放 合作共赢,合作,中德关系,企业,2018,10,0,NA
面向未来 双向开放 合作共赢,合作,中德关系,企业,2018,10,0,NA
开放的中国与世界共赢,世贸组织,改革开放,多边贸易体制,2018,2,0,NA
中小企业探寻创新共赢之路,中小企业,创新,赢之路,2018,29,0,NA
保障国家安全　促进互利共赢 积极参与制定跨境数据流动规则（新知新觉）,数据流动规则,网络,经济建设,2018,5,0,NA
为合作共赢创造全球样本(钟声),中德关系,合作共赢,创新,2018,25,0,NA
中美经贸磋商成果是共赢选择（打开对外开放新局面）,中美关系,经贸,成果,2018,21,0,NA
扩大进口，中国唱响共赢曲（打开对外开放新局面）,扩大进口,对外开放,赢曲,2018,14,0,NA
用互利共赢解开中美经贸“心结”,经贸,中美关系,互利共赢,2018,5,0,NA
国企民企互促共赢格局已经形成（热点辨析）,国有企业,民营企业,竞争,2018,2,0,NA
我国对外投资促进合作共赢（热点辨析）,中国,国际投资,合作,2018,30,0,NA
扩大开放　惠及中国惠及世界（经济观察·聚焦开放共赢③）,经济,扩大开放,外资,2018,17,0,NA
提供增长动力　拓宽发展路径（经济观察·聚焦开放共赢②）,人口,脱贫,世界经济,2018,16,0,NA
聚焦合作  致力共赢 着力提高处理大国关系的能力（适势求是）,大国关系,战略,中美关系,2018,15,0,NA
开放融通，中国为全球增长添动力(经济观察·聚焦开放共赢①),经济增长,改革,改革开放,2018,12,0,NA
习近平出席博鳌亚洲论坛2018年年会开幕式并发表主旨演讲（强调顺应时代潮流 坚持开放共赢 宣布中国扩大开放新的重大举措）,开幕式,演说,颁布,2018,11,0,NA
在扩大开放中推动互利共赢（评论员观察）,互利共赢,扩大开放,改革,2018,9,0,NA
两千多位各国嘉宾将共商合作共赢大计 “博鳌时间”，亚洲与世界共鸣,博鳌亚洲论坛,“一带一路”,合作,2018,8,0,NA
两千多位各国嘉宾将共商合作共赢大计 “博鳌时间”，亚洲与世界共鸣,博鳌亚洲论坛,“一带一路”,合作,2018,8,0,NA
唯有合作 才能共赢(手记),唯有合作,中美关系,“美国优先”,2018,28,0,NA
打造区域人才协作共赢格局（圆桌会）,合作,区域人才,协作共赢,2018,17,0,NA
在中国经济快速发展的进程中，公有制经济与非公有制经济、国有企业与非国有企业从来不是对立的关系，更多的是优势互补、互利共赢—— 国企民企，携手迈向高质量发展（在习近平新时代中国特色社会主义思想指引下——新时代新气象新作为·坚持两个毫不动摇）,国有企业,国企民企,社会主义,2018,7,0,NA
在中国经济快速发展的进程中，公有制经济与非公有制经济、国有企业与非国有企业从来不是对立的关系，更多的是优势互补、互利共赢—— 国企民企，携手迈向高质量发展（在习近平新时代中国特色社会主义思想指引下——新时代新气象新作为·坚持两个毫不动摇）,国有企业,国企民企,社会主义,2018,7,0,NA
协同共赢,企业,津冀,发展战略,2018,28,0,NA
西班牙九个自治区参与中欧班列合作共赢,中欧班列,九个自治区,合作,2017,21,0,NA
合作共赢才是大国相处之道（人民观察）,合作,中美关系,国际,2017,10,0,NA
携手谱写亚太合作共赢新篇章,亚太合作,创新,就业,2017,12,0,NA
互利共赢，为中越人民带来更多福祉,文章关键词：,NA,NA,2017,9,0,NA
共赢理念展现中国方案优势（势所必然）,措施,国际,和平,2017,5,0,NA
“对接中国市场，意味着共赢”,安德雷亚斯·平克瓦特,对接,市场,2017,1,0,NA
一带一路，历史与现实的壮丽乐章（大国外交·共赢）,建设,合作,“一带一路”,2017,16,0,NA
一带一路，历史与现实的壮丽乐章（大国外交·共赢）,建设,合作,“一带一路”,2017,16,0,NA
出境游热潮带来消费红利  走出去发展谋求合作共赢 中国旅游企业，扬帆出海正当时,旅游企业,兼并,市场,2017,12,0,NA
开放发展 实现互利共赢,建设,国际,对外开放,2017,10,0,NA
同奏合作共赢乐章（身在海外 心系祖国（下））,合作共赢,土地,维和,2017,7,0,NA
坚持合作创新法治共赢 携手开展全球安全治理,整治,合作,安全治理,2017,27,0,NA
互鉴共进 推动合作共赢,希腊文化和体育部,合作,交流,2017,21,0,NA
共建 共享 共赢 共荣 开创合作新格局 讲好丝路新故事,合作,丝路,“一带一路”,2017,20,0,NA
兵地牵手 共建共赢（大熔炉）,兵地,兵团,民族团结,2017,19,0,NA
把握一带一路机遇  构筑合作共赢之路（一带一路论坛）,“一带一路”,合作共赢,国际,2017,19,0,NA
能源丝路铺就合作共赢金桥,合作,能源,中哈关系,2017,18,0,NA
东亚联通 丝路共赢,东亚,海洋,合作,2017,13,0,NA
务实创新 合作共赢（钟声）,合作,金砖国家工商论坛,创新,2017,11,0,NA
共享共赢才能致远（每月经济观察）,经济全球化,改革,世界经济,2017,4,0,NA
合作共赢成现实,合作,建设,新疆利华棉业,2017,6,0,NA
保护与建设并进 美丽与发展共赢 内蒙古 大美生态做文章（守望相助七十载 壮美亮丽内蒙古）,草原,生产,故事,2017,5,0,NA
一点连三洲 一线串美欧（一带一路·合作共赢）,合作,一线串,连三洲,2017,27,0,NA
聚焦精准 深化帮扶 长期合作 实现共赢,合作,济困,精准,2017,21,0,NA
中企对美投资收获互利共赢,投资,企业,兼并,2017,17,0,NA
格力领跑家电企业海外设厂（一带一路·合作共赢）,一带一路,家电企业,合作,2017,15,0,NA
云南：贸易畅通 货币交融（一带一路·合作共赢）,云南富滇银行,货币交融,合作,2017,13,0,NA
中法聚焦一带一路倡议下企业合作共赢新机遇,合作,中法关系,企业,2017,13,0,NA
共享绿色能源 铺就发展新路（一带一路·合作共赢）,合作,绿色能源,建设,2017,9,0,NA
互联互通 互惠共赢 “债券通”上路（说词解事）,“债券通”,债券市场,合作,2017,6,0,NA
萨希瓦尔电站投产发电（一带一路·合作共赢）,萨希瓦尔电站,投产,合作,2017,4,0,NA
宁波：发挥区位优势 放大对接效应（一带一路·合作共赢）,合作,对接,“一带一路”,2017,5,0,NA
蒙内铁路 正式通车（一带一路·合作共赢）,铁路,合作,通车,2017,1,0,NA
小红书，与世界分享好生活（一带一路·合作共赢）,小红书,合作,红书经,2017,30,0,NA
重庆 财政补出“三方共赢”（治国理政新思想新实践·新理念引领新发展）,财政,“三方共赢”,实践,2017,26,0,NA
新西兰本土最大家电企业与中企合作，书写共赢故事 当斐雪派克搭上“海尔巨轮”,斐雪派克,企业,市场,2017,21,0,NA
布拉格机场：直航带来商机（一带一路·合作共赢）,布拉格机场,瓦茨拉夫·雷哈什,合作,2017,19,0,NA
西港特区：花开蝶自来（一带一路·合作共赢）,柬埔寨西港特区,花开蝶自,合作,2017,19,0,NA
中国设计：省钱又可靠（一带一路·合作共赢）,设计,合作,赫维利,2017,19,0,NA
让企业在开放共赢中释放活力（观察）,企业,“一带一路”,建设,2017,18,0,NA
“一带一路”国际合作高峰论坛举行圆桌峰会（习近平主持会议并致辞  强调密切政策协调  对接发展战略  深化务实合作  实现互利共赢  共同推动“一带一路”建设合作不断取得新进展）,“一带一路”,高峰,首脑会议,2017,16,0,NA
中国方案全球受惠 一带一路互利共赢,建设,“一带一路”,措施,2017,16,0,NA
共建一带一路　实现共赢发展,国际会议中心,首脑会议,“一带一路”,2017,16,0,NA
“一带一路”国际合作高峰论坛举行圆桌峰会（习近平主持会议并致辞  强调密切政策协调  对接发展战略  深化务实合作  实现互利共赢  共同推动“一带一路”建设合作不断取得新进展）,“一带一路”,高峰,首脑会议,2017,16,0,NA
习近平出席“一带一路”国际合作高峰论坛开幕式并发表主旨演讲（强调坚持以和平合作、开放包容、互学互鉴、互利共赢为核心的丝路精神将“一带一路”建成和平之路、繁荣之路、开放之路、创新之路、文明之路）,“一带一路”,国际合作,开幕式,2017,15,0,NA
齐心协力，再筑“中巴友谊路”（一带一路·合作共赢）,公路,“中巴友谊路”,合作共赢,2017,15,0,NA
中企对沿线国家直接投资超600亿美元（一带一路·合作共赢）,合作,沿线国家,国家直接投资,2017,13,0,NA
建设中的中马友谊大桥（一带一路  合作共赢）,中马友谊大桥,建设,合作,2017,13,0,NA
中资银行在一带一路沿线国家设62家一级机构（一带一路·合作共赢）,沿线国家,机构,银行,2017,12,0,NA
一带一路 国际星空摄影展开幕（一带一路 合作共赢）,开幕,国际,摄影展,2017,12,0,NA
打造丝绸之路经济带上的明珠（一带一路·合作共赢）,合作,白工业园,丝绸之路,2017,12,0,NA
中国与沿线国家贸易总额20万亿元（一带一路·合作共赢）,沿线国家,合作,国家贸易总额,2017,11,0,NA
奏响共同发展的交响乐（一带一路·合作共赢）,合作,“一带一路”,共同发展,2017,11,0,NA
中欧班列开行情况（一带一路·合作共赢）,合作,“一带一路”,NA,2017,11,0,NA
佛山制造走向世界（一带一路·合作共赢）,合作,企业,“一带一路”,2017,11,0,NA
北京欢迎你（一带一路  合作共赢）,北京市政府,“一带一路”,高峰论坛,2017,11,0,NA
中国药企扎根中亚谋共赢（一带一路·合作共赢）,四川民营企业科伦药业,一带一路,药物,2017,11,0,NA
奏响共同发展的交响乐（一带一路·合作共赢）,合作,“一带一路”,共同发展,2017,11,0,NA
从“共商共建共享”走向共赢（评论员观察）,“共商共建共享”,“一带一路”,倡议,2017,11,0,NA
一带一路科技合作成果逐步显现（一带一路·合作共赢）,科技合作,成果逐步显现,“一带一路”,2017,10,0,NA
通途（一带一路·合作共赢）,合作,“一带一路”,经济建设,2017,10,0,NA
用中国品质给世界“加油”（一带一路·合作共赢）,合作,中石化国际勘探埃及公司,长城润滑油新加坡公司,2017,10,0,NA
用法律语言共商，靠法律制度共建，让法治保障共赢—— 法律服务，护航“一带一路”,“一带一路”,法律服务,涉外,2017,10,0,NA
精耕一带一路 开拓海外市场（一带一路 合作共赢）,市场,辽宁沈阳北方重工,土耳其伊斯坦布尔地铁盾构机,2017,10,0,NA
央企参与一带一路项目1676个（一带一路·合作共赢）,合作,建设,企业,2017,9,0,NA
北京全力以赴做准备 迎一带一路高峰论坛（一带一路·合作共赢）,高峰论坛,合作,“一带一路”,2017,9,0,NA
全球能源互联网建设正有序推进（一带一路·合作共赢）,能源互联网,因特网,建设,2017,9,0,NA
远航吧　跨境电商（一带一路 合作共赢·大数据观察·聚焦一带一路）,跨境电商,出口,中国,2017,9,0,NA
全球能源互联网建设正有序推进（一带一路·合作共赢）,能源互联网,因特网,建设,2017,9,0,NA
中哈能源合作：互利共赢的典范（“一带一路”·合作共赢）,合作,中哈能源,“一带一路”,2017,8,0,NA
中国智造，与世界共赢（钟声）,首飞,创新,航空,2017,8,0,NA
陕西 内陆省有颗外向的心（“一带一路”·合作共赢）,合作,“一带一路”,口岸,2017,7,0,NA
中白合作互利共赢（“一带一路”·高端访谈）,弗拉基米尔·谢马什科,合作,“一带一路”,2017,7,0,NA
用中国标准为世界“充电”（“一带一路”·合作共赢）,合作,标准,“一带一路”,2017,5,0,NA
“我们就像一家人”（“一带一路”·合作共赢）,合作,“一带一路”,“我们就像一家人”,2017,3,0,NA
埃中合作是互利共赢典范（“一带一路”·高端访谈）,合作,“一带一路”,纳塞尔·福埃德,2017,3,0,NA
汕头 发展注入新动力(“一带一路”·合作共赢),“一带一路”,合作,奥飞娱乐股份有限公司,2017,1,0,NA
让中国图书火到阿拉伯（“一带一路”·合作共赢）,图书,“一带一路”,阿拉伯,2017,30,0,NA
“中国建设者给我们的最好礼物”(“一带一路”·合作共赢),亚吉铁路建设,合作,“一带一路”,2017,29,0,NA
创国际医疗中心  建跨境服务平台(“一带一路”·合作共赢),国际医疗中心,合作,新疆维吾尔自治区中医院,2017,27,0,NA
中车株机 助力马来西亚列车本土造（“一带一路”·合作共赢）,火车,车株机,合作,2017,26,0,NA
大通道上，中欧贸易更便捷(“一带一路”·合作共赢),大通道,中欧贸易,“一带一路”,2017,25,0,NA
打好国际牌  巨头再腾飞（“一带一路”·合作共赢）,“一带一路”,合作,迪特里希·爱格霍夫,2017,24,0,NA
走出去 求共赢（“一带一路”·合作共赢）,合作,“一带一路”,建设,2017,22,0,NA
“这个市场太大太重要”（“一带一路”·合作共赢）,“一带一路”,市场,企业,2017,21,0,NA
广西 抓住机遇谋共赢（“一带一路”·合作共赢）,文章关键词：,NA,NA,2017,20,0,NA
让“非洲制造”的梦想照进现实（“一带一路”·合作共赢）,“一带一路”,华坚国际轻工业园,“非洲制造”,2017,18,0,NA
让“非洲制造”的梦想照进现实（“一带一路”·合作共赢）,“一带一路”,华坚国际轻工业园,“非洲制造”,2017,18,0,NA
福州：贸易重镇 向海而歌（“一带一路”·合作共赢）,合作,“一带一路”,东盟海产品交易所,2017,17,0,NA
建设“一带一路”  实现共赢发展（“一带一路”论坛）,“一带一路”,建设,招商局集团有限公司,2017,17,0,NA
泉州 再续丝路情缘（“一带一路”·合作共赢）,“一带一路”,合作共赢,城市,2017,14,0,NA
西港特区 共享联动红利（“一带一路”·合作共赢）,合作共赢,经济特区,西港特区,2017,14,0,NA
泉州 再续丝路情缘（“一带一路”·合作共赢）,“一带一路”,合作共赢,城市,2017,14,0,NA
西港特区 共享联动红利（“一带一路”·合作共赢）,合作共赢,经济特区,西港特区,2017,14,0,NA
坚持对话合作 坚持互利共赢,合作,中美关系,对话,2017,9,0,NA
坚持对话合作 坚持互利共赢,合作,中美关系,对话,2017,9,0,NA
互利共赢，中美经济融合度越来越高（国际视点）,中美关系,经济,投资,2017,7,0,NA
愿在相互尊重、合作共赢基础上拓展中美经贸务实合作,经贸,中美关系,合作,2017,31,0,NA
中国民企在美国走出共赢路（第一现场）,中美关系,赫苏斯·弗罗莱斯,万向美国公司,2017,20,0,NA
互利共赢，中德贸易再上新台阶,中德关系,互利共赢,欧元,2017,14,0,NA
为世界创造互利共赢新机遇（海外话两会）,创新,“一带一路”,对外开放,2017,12,0,NA
加强政企互动 促进共赢发展（两会·问答）,企业,地方,委员,2017,10,0,NA
产能合作筑就中哈互利共赢之路,中哈关系,原油,合作,2017,2,0,NA
合作共赢才是正道（大家手笔）,中美关系,合作,出口,2017,26,0,NA
秉持相互尊重 平等合作 互利共赢 实现深度利益融合,合作,中法关系,深度利益融合,2017,22,0,NA
